0.139268	-0.038424	0.989509
-0.045456	0.194755	0.979798
-0.280839	0.0174624	0.959596
-0.188699	-0.286237	0.939394
0.128097	-0.372394	0.919192
0.400347	-0.177593	0.89899
0.450391	0.157733	0.878788
0.259935	0.441887	0.858586
-0.0699732	0.54057	0.838384
-0.393954	0.418782	0.818182
-0.58834	0.130706	0.79798
-0.589534	-0.217971	0.777778
-0.402853	-0.513603	0.757576
-0.0890288	-0.669592	0.737374
0.261333	-0.646042	0.717172
0.555616	-0.453347	0.69697
0.722189	-0.142927	0.676768
0.724497	0.209823	0.656566
0.565157	0.525013	0.636364
0.281238	0.735697	0.616162
-0.0667164	0.800238	0.59596
-0.408726	0.708128	0.575758
-0.679441	0.479289	0.555556
-0.829725	0.157964	0.535354
-0.834157	-0.196978	0.515152
-0.693729	-0.523226	0.494949
-0.433923	-0.765719	0.474747
-0.0990196	-0.885203	0.454545
0.256077	-0.86358	0.434343
0.575008	-0.705587	0.414141
0.808662	-0.436896	0.393939
0.922209	-0.0992565	0.373737
0.8996	0.256384	0.353535
0.745115	0.577661	0.333333
0.481959	0.81833	0.313131
0.148309	0.944562	0.292929
-0.208494	0.939228	0.272727
-0.538732	0.80374	0.252525
-0.797128	0.557327	0.232323
-0.948817	0.233987	0.212121
-0.973749	-0.12239	0.191919
-0.869013	-0.464037	0.171717
-0.648891	-0.745643	0.151515
-0.342707	-0.93022	0.131313
0.00920017	-0.993765	0.111111
0.360818	-0.928195	0.0909091
0.666432	-0.742206	0.0707071
0.886472	-0.460019	0.0505051
0.99253	-0.118182	0.030303
0.97093	0.239152	0.010101
0.824432	0.56587	-0.010101
0.571873	0.819782	-0.030303
0.245779	0.968009	-0.0505051
-0.11174	0.991219	-0.0707071
-0.45434	0.886178	-0.0909091
-0.73737	0.666288	-0.111111
-0.923659	0.360014	-0.131313
-0.988427	0.00736505	-0.151515
-0.922696	-0.345176	-0.171717
-0.734718	-0.650658	-0.191919
-0.449204	-0.867883	-0.212121
-0.104348	-0.967025	-0.232323
0.253017	-0.933924	-0.252525
0.573594	-0.772405	-0.272727
0.812353	-0.504257	-0.292929
0.934961	-0.166721	-0.313131
0.922996	0.19227	-0.333333
0.777161	0.520608	-0.353535
0.517926	0.769463	-0.373737
0.183299	0.900674	-0.393939
-0.176137	0.893008	-0.414141
-0.504435	0.746251	-0.434343
-0.748831	0.482328	-0.454545
-0.868429	0.142989	-0.474747
-0.841668	-0.215916	-0.494949
-0.671206	-0.533012	-0.515152
-0.385103	-0.751726	-0.535354
-0.0336407	-0.830799	-0.555556
0.31827	-0.753132	-0.575758
0.602304	-0.531095	-0.59596
0.760006	-0.206726	-0.616162
0.755842	0.154091	-0.636364
0.58726	0.473336	-0.656566
0.288994	0.677103	-0.676768
-0.0706051	0.713616	-0.69697
-0.402191	0.569128	-0.717172
-0.616046	0.27707	-0.737374
-0.647335	-0.0838831	-0.757576
-0.480077	-0.405695	-0.777778
-0.161828	-0.580551	-0.79798
0.199464	-0.539252	-0.818182
0.462959	-0.287717	-0.838384
0.507205	0.0746583	-0.858586
0.296443	0.37397	-0.878788
-0.066188	0.432939	-0.89899
-0.344663	0.190509	-0.919192
-0.293152	-0.177767	-0.939394
0.0706273	-0.272374	-0.959596
0.177111	0.0928847	-0.979798
0.0283089	0.173664	-0.984398
